--- Log zapocet: 5/6/2026 5:29:31 PM ---
[17:29:42] [Nit 11] Cache hit (author): picasso, Vreme: 0.0403ms
[17:29:42] [Nit 11] Cache hit (author): picasso, Vreme: 0.0268ms
[17:29:42] [Nit 5] Cache hit (author): picasso, Vreme: 0.0292ms
[17:29:42] [Nit 5] Cache hit (author): picasso, Vreme: 0.0284ms
[17:29:42] [Nit 11] Cache hit (author): picasso, Vreme: 0.0264ms
[17:29:42] [Nit 11] Cache hit (author): picasso, Vreme: 0.0312ms
[17:29:42] [Nit 5] Cache hit (author): picasso, Vreme: 0.039ms
[17:29:42] [Nit 8] Stampedo (author): picasso, Vreme: 383.4211ms
[17:29:42] [Nit 11] Cache hit (author): picasso, Vreme: 0.0362ms
[17:29:42] [Nit 5] Cache hit (author): picasso, Vreme: 0.0492ms
[17:29:42] [Nit 14] Stampedo (author): picasso, Vreme: 388.6364ms
[17:29:42] [Nit 8] Cache hit (author): picasso, Vreme: 0.0259ms
[17:29:42] [Nit 12] Stampedo (author): picasso, Vreme: 388.8773ms
[17:29:42] [Nit 13] Stampedo (author): picasso, Vreme: 384.7111ms
[17:29:42] [Nit 6] Stampedo (author): picasso, Vreme: 386.966ms
[17:29:42] [Nit 7] Stampedo (author): picasso, Vreme: 371.6128ms
[17:29:42] [Nit 9] Stampedo (author): picasso, Vreme: 372.0511ms
[17:29:42] [Nit 10] Stampedo (author): picasso, Vreme: 372.3008ms
[17:29:43] [Nit 11] API poziv (q): mona lisa, Vreme: 230.0534ms
[17:29:43] [Nit 5] Stampedo (q): mona lisa, Vreme: 224.8649ms
[17:29:43] [Nit 11] Cache hit (q): mona lisa, Vreme: 0.0455ms
[17:29:43] [Nit 14] Stampedo (q): mona lisa, Vreme: 223.6621ms
[17:29:43] [Nit 8] Stampedo (q): mona lisa, Vreme: 226.5789ms
[17:29:43] [Nit 5] Cache hit (q): mona lisa, Vreme: 0.0426ms
[17:29:43] [Nit 14] Cache hit (q): mona lisa, Vreme: 0.0434ms
[17:29:43] [Nit 11] Cache hit (q): mona lisa, Vreme: 0.041ms
[17:29:43] [Nit 12] Stampedo (q): mona lisa, Vreme: 224.8074ms
